Date,PortfolioValue,Peak,Drawdown
2020-09-28,112277.39311257958,112277.39311257958,0.0
2020-09-29,112277.39311257958,112277.39311257958,0.0
2020-09-30,112277.39311257958,112277.39311257958,0.0
2020-10-01,112277.39311257958,112277.39311257958,0.0
2020-10-02,112277.39311257958,112277.39311257958,0.0
2020-10-05,112277.39311257958,112277.39311257958,0.0
2020-10-06,112277.39311257958,112277.39311257958,0.0
2020-10-07,112277.39311257958,112277.39311257958,0.0
2020-10-08,112277.39311257958,112277.39311257958,0.0
2020-10-09,112277.39311257958,112277.39311257958,0.0
2020-10-12,112277.39311257958,112277.39311257958,0.0
2020-10-13,112277.39311257958,112277.39311257958,0.0
2020-10-14,112277.39311257958,112277.39311257958,0.0
2020-10-15,112277.39311257958,112277.39311257958,0.0
2020-10-16,112277.39311257958,112277.39311257958,0.0
2020-10-19,112277.39311257958,112277.39311257958,0.0
2020-10-20,112277.39311257958,112277.39311257958,0.0
2020-10-21,112277.39311257958,112277.39311257958,0.0
2020-10-22,112277.39311257958,112277.39311257958,0.0
2020-10-23,112277.39311257958,112277.39311257958,0.0
2020-10-26,112277.39311257958,112277.39311257958,0.0
2020-10-27,112277.39311257958,112277.39311257958,0.0
2020-10-28,112277.39311257958,112277.39311257958,0.0
2020-10-29,112277.39311257958,112277.39311257958,0.0
2020-10-30,112277.39311257958,112277.39311257958,0.0
2020-11-02,112277.39311257958,112277.39311257958,0.0
2020-11-03,112277.39311257958,112277.39311257958,0.0
2020-11-04,112277.39311257958,112277.39311257958,0.0
2020-11-05,112277.39311257958,112277.39311257958,0.0
2020-11-06,112450.00027538885,112450.00027538885,0.0
2020-11-09,110324.51306988348,112450.00027538885,-1.8901620278346605
2020-11-10,110010.61898876776,112450.00027538885,-2.1693030508199866
2020-11-11,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-12,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-13,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-16,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-17,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-18,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-19,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-20,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-23,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-24,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-25,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-27,110947.16510792826,112450.00027538885,-1.336447455562621
2020-11-30,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-01,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-02,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-03,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-04,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-07,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-08,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-09,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-10,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-11,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-14,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-15,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-16,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-17,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-18,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-21,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-22,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-23,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-24,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-28,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-29,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-30,110947.16510792826,112450.00027538885,-1.336447455562621
2020-12-31,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-04,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-05,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-06,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-07,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-08,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-11,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-12,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-13,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-14,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-15,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-19,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-20,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-21,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-22,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-25,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-26,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-27,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-28,110947.16510792826,112450.00027538885,-1.336447455562621
2021-01-29,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-01,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-02,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-03,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-04,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-05,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-08,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-09,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-10,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-11,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-12,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-16,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-17,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-18,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-19,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-22,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-23,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-24,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-25,110947.16510792826,112450.00027538885,-1.336447455562621
2021-02-26,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-01,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-02,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-03,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-04,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-05,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-08,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-09,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-10,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-11,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-12,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-15,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-16,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-17,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-18,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-19,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-22,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-23,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-24,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-25,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-26,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-29,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-30,110947.16510792826,112450.00027538885,-1.336447455562621
2021-03-31,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-01,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-05,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-06,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-07,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-08,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-09,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-12,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-13,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-14,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-15,110947.16510792826,112450.00027538885,-1.336447455562621
2021-04-16,110947.16510792826,112450.00027538885,-1.336447455562621
